,名次,姓名,语文,数学,英语,物理,化学,生物,政治,历史,地理,总分,平均分
14,0.0,平均,69.1,70.7,68.53333333333333,69.6,72.0,69.4,60.43333333333333,71.0,74.8,625.5666666666667,69.5
7,1.0,小沈,94.0,95.0,72.0,86.0,78.0,78.0,不及格,95.0,96.0,737.0,81.9
17,2.0,小郑,84.0,93.0,不及格,94.0,86.0,71.0,69.0,81.0,71.0,708.0,78.7
23,3.0,小朱,97.0,91.0,88.0,86.0,86.0,不及格,61.0,不及格,82.0,701.0,77.9
21,4.0,小施,88.0,74.0,不及格,不及格,78.0,87.0,96.0,88.0,90.0,687.0,76.3
24,5.0,小何,86.0,不及格,86.0,不及格,76.0,92.0,79.0,95.0,不及格,663.0,73.7
1,6.0,小张,不及格,87.0,不及格,88.0,95.0,78.0,91.0,不及格,94.0,662.0,73.6
29,8.0,小赵,73.0,85.0,80.0,82.0,93.0,不及格,64.0,87.0,不及格,660.0,73.3
28,8.0,小金,78.0,84.0,77.0,不及格,79.0,82.0,不及格,74.0,94.0,660.0,73.3
10,9.0,小华,不及格,85.0,85.0,72.0,62.0,87.0,94.0,73.0,不及格,645.0,71.7
30,10.0,小陈,98.0,90.0,64.0,71.0,90.0,65.0,不及格,不及格,89.0,640.0,71.1
12,11.0,小魏,75.0,不及格,不及格,85.0,不及格,60.0,97.0,99.0,69.0,638.0,70.9
3,12.0,小卫,70.0,67.0,不及格,96.0,94.0,69.0,62.0,72.0,72.0,635.0,70.6
6,13.0,小孙,95.0,64.0,87.0,79.0,不及格,70.0,不及格,72.0,87.0,633.0,70.3
22,14.0,小吴,不及格,83.0,80.0,94.0,90.0,86.0,不及格,不及格,64.0,629.0,69.9
2,15.0,小吕,不及格,不及格,81.0,不及格,95.0,80.0,不及格,81.0,99.0,619.0,68.8
16,17.0,小钱,不及格,91.0,81.0,92.0,72.0,不及格,不及格,65.0,83.0,617.0,68.6
18,17.0,小杨,86.0,93.0,87.0,不及格,75.0,不及格,不及格,60.0,81.0,617.0,68.6
25,18.0,小秦,不及格,不及格,64.0,78.0,89.0,91.0,不及格,94.0,61.0,612.0,68.0
26,19.0,小孔,不及格,86.0,88.0,83.0,80.0,90.0,不及格,78.0,不及格,610.0,67.8
11,20.0,小曹,63.0,不及格,不及格,94.0,不及格,不及格,73.0,91.0,78.0,607.0,67.4
27,21.0,小楮,90.0,不及格,70.0,不及格,88.0,73.0,69.0,74.0,60.0,605.0,67.2
20,22.0,小严,不及格,71.0,77.0,60.0,91.0,79.0,90.0,不及格,61.0,602.0,66.9
13,23.0,小许,不及格,72.0,99.0,不及格,不及格,92.0,62.0,92.0,65.0,601.0,66.8
4,24.0,小蒋,82.0,不及格,63.0,70.0,60.0,67.0,不及格,69.0,92.0,600.0,66.7
9,25.0,小李,87.0,不及格,81.0,不及格,73.0,不及格,不及格,74.0,97.0,591.0,65.7
15,26.0,小冯,不及格,74.0,83.0,69.0,不及格,78.0,73.0,不及格,不及格,587.0,65.2
19,28.0,小韩,83.0,70.0,不及格,74.0,不及格,不及格,不及格,93.0,78.0,578.0,64.2
8,28.0,小尤,74.0,67.0,63.0,不及格,不及格,89.0,不及格,66.0,76.0,578.0,64.2
5,29.0,小王,75.0,83.0,不及格,不及格,72.0,不及格,不及格,64.0,80.0,525.0,58.3
0,30.0,小周,不及格,不及格,66.0,65.0,不及格,不及格,70.0,不及格,89.0,520.0,57.8
